Namespace(cfg_file='config/extractor/train_extractor_vn_dgcnn.yml', use_sgd=True, no_cuda=False, eval=False, model_path=None)
Using GPU : 0 from 2 devices
VN_DGCNN_ORIG(
  (conv1): VNLinearLeakyReLU(
    (map_to_feat): Linear(in_features=2, out_features=21, bias=False)
    (batchnorm): VNBatchNorm(
      (bn): BatchNorm2d(21, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (map_to_dir): Linear(in_features=2, out_features=21, bias=False)
  )
  (conv2): VNLinearLeakyReLU(
    (map_to_feat): Linear(in_features=42, out_features=21, bias=False)
    (batchnorm): VNBatchNorm(
      (bn): BatchNorm2d(21, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (map_to_dir): Linear(in_features=42, out_features=21, bias=False)
  )
  (conv3): VNLinearLeakyReLU(
    (map_to_feat): Linear(in_features=42, out_features=42, bias=False)
    (batchnorm): VNBatchNorm(
      (bn): BatchNorm2d(42, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (map_to_dir): Linear(in_features=42, out_features=42, bias=False)
  )
  (conv4): VNLinearLeakyReLU(
    (map_to_feat): Linear(in_features=84, out_features=85, bias=False)
    (batchnorm): VNBatchNorm(
      (bn): BatchNorm2d(85, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (map_to_dir): Linear(in_features=84, out_features=85, bias=False)
  )
  (conv5): VNLinearLeakyReLU(
    (map_to_feat): Linear(in_features=169, out_features=341, bias=False)
    (batchnorm): VNBatchNorm(
      (bn): BatchNorm1d(341, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (map_to_dir): Linear(in_features=169, out_features=1, bias=False)
  )
  (std_feature): VNStdFeature(
    (vn1): VNLinearLeakyReLU(
      (map_to_feat): Linear(in_features=682, out_features=341, bias=False)
      (batchnorm): VNBatchNorm(
        (bn): BatchNorm1d(341, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      )
      (map_to_dir): Linear(in_features=682, out_features=341, bias=False)
    )
    (vn2): VNLinearLeakyReLU(
      (map_to_feat): Linear(in_features=341, out_features=170, bias=False)
      (batchnorm): VNBatchNorm(
        (bn): BatchNorm1d(170, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      )
      (map_to_dir): Linear(in_features=341, out_features=170, bias=False)
    )
    (vn_lin): Linear(in_features=170, out_features=3, bias=False)
  )
  (linear1): Linear(in_features=4092, out_features=512, bias=True)
  (bn1): BatchNorm1d(512, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dp1): Dropout(p=0.5, inplace=False)
  (linear2): Linear(in_features=512, out_features=256, bias=True)
  (bn2): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (dp2): Dropout(p=0.5, inplace=False)
  (linear3): Linear(in_features=256, out_features=40, bias=True)
)
NUMBER OF TRAINABLE PARAMS: 2899830
SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    initial_lr: 0.1
    lr: 0.1
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
Train 0, loss: 3.623593, train acc: 0.117569, train avg acc: 0.050603
Test 0, loss: 3.334634, test acc: 0.126013, test avg acc: 0.077913
Train 1, loss: 3.305652, train acc: 0.163783, train avg acc: 0.077170
Test 1, loss: 3.890964, test acc: 0.049028, test avg acc: 0.030250
Train 2, loss: 3.240512, train acc: 0.192182, train avg acc: 0.093815
Test 2, loss: 3.379985, test acc: 0.122366, test avg acc: 0.078471
Train 3, loss: 3.173886, train acc: 0.221397, train avg acc: 0.111373
Test 3, loss: 3.235686, test acc: 0.159238, test avg acc: 0.100674
Train 4, loss: 3.080706, train acc: 0.243078, train avg acc: 0.127476
Test 4, loss: 3.219508, test acc: 0.160454, test avg acc: 0.112669
Train 5, loss: 2.990809, train acc: 0.277382, train avg acc: 0.152364
Test 5, loss: 3.267422, test acc: 0.157618, test avg acc: 0.114390
Train 6, loss: 2.917397, train acc: 0.317284, train avg acc: 0.185103
Test 6, loss: 3.050633, test acc: 0.241896, test avg acc: 0.175820
Train 7, loss: 2.842667, train acc: 0.345888, train avg acc: 0.202709
Test 7, loss: 3.034429, test acc: 0.275122, test avg acc: 0.204279
Train 8, loss: 2.775492, train acc: 0.375102, train avg acc: 0.223174
Test 8, loss: 3.013519, test acc: 0.304295, test avg acc: 0.230791
Train 9, loss: 2.717611, train acc: 0.403400, train avg acc: 0.253903
Test 9, loss: 3.164114, test acc: 0.224068, test avg acc: 0.172698
Train 10, loss: 2.637948, train acc: 0.432512, train avg acc: 0.287726
Test 10, loss: 2.754953, test acc: 0.361021, test avg acc: 0.280860
Train 11, loss: 2.594530, train acc: 0.449919, train avg acc: 0.305224
Test 11, loss: 2.571457, test acc: 0.452593, test avg acc: 0.358820
Train 12, loss: 2.531470, train acc: 0.479540, train avg acc: 0.330973
Test 12, loss: 2.882875, test acc: 0.326175, test avg acc: 0.250715
Train 13, loss: 2.490289, train acc: 0.500407, train avg acc: 0.359463
Test 13, loss: 2.857616, test acc: 0.328606, test avg acc: 0.256110
Train 14, loss: 2.460673, train acc: 0.510993, train avg acc: 0.370943
Test 14, loss: 2.443302, test acc: 0.496759, test avg acc: 0.412709
Train 15, loss: 2.425537, train acc: 0.524837, train avg acc: 0.383078
Test 15, loss: 2.455839, test acc: 0.518639, test avg acc: 0.398616
Train 16, loss: 2.381901, train acc: 0.552423, train avg acc: 0.408626
Test 16, loss: 2.400648, test acc: 0.563614, test avg acc: 0.478576
Train 17, loss: 2.346847, train acc: 0.560566, train avg acc: 0.422934
Test 17, loss: 2.517739, test acc: 0.490681, test avg acc: 0.412116
Train 18, loss: 2.323982, train acc: 0.576242, train avg acc: 0.443595
Test 18, loss: 2.431057, test acc: 0.524716, test avg acc: 0.421442
Train 19, loss: 2.298739, train acc: 0.585505, train avg acc: 0.451611
Test 19, loss: 2.612741, test acc: 0.413695, test avg acc: 0.333837
Train 20, loss: 2.278303, train acc: 0.594361, train avg acc: 0.461686
Test 20, loss: 2.253134, test acc: 0.622771, test avg acc: 0.526192
Train 21, loss: 2.269274, train acc: 0.597516, train avg acc: 0.465698
Test 21, loss: 2.534103, test acc: 0.457455, test avg acc: 0.390692
Train 22, loss: 2.224144, train acc: 0.619198, train avg acc: 0.491494
